level,pos,japanese,reading,korean,source_url
N2,all,,,,https://ja.dict.naver.com/#/entry/jako/fce622c39d464ae699eeeabd84f6bc41
N2,all,化,-か,…화; …이 되다; …로 하다.,https://ja.dict.naver.com/#/entry/jako/dfd7014995754a8aa201f34277456fd3
N2,all,日,-か,(순수 일본말로 된 数詞와 합쳐서 体言을 만듦) 날수 및 날짜를 세는 말： …일; …날.,https://ja.dict.naver.com/#/entry/jako/e45fdeea32c64f51832b813465f66a08
N2,all,外,-がい,…외; 밖.,https://ja.dict.naver.com/#/entry/jako/a6224c85bfce48a18f4a2b99210a48ee
N2,all,勝ち,-がち,(체언·동사 연용형(連用形)에 붙어서) 그러한 경향·상태가 많음을 나타냄.,https://ja.dict.naver.com/#/entry/jako/6cca881b09e64aae83e3ce5f992daa73
N2,all,教,-きょう,…교; 교파(敎派).,https://ja.dict.naver.com/#/entry/jako/9c53c47f2a5f4878881be16b82f3d7ad
N2,all,家,-け,(성(姓)이나 신분을 나타내는 말에 붙여) …가; …의 일문(一門); …의 집안; …의 집.,https://ja.dict.naver.com/#/entry/jako/64d169c2a07a49ec83bfba9e53a334b8
N2,all,湖,-こ,…호.,https://ja.dict.naver.com/#/entry/jako/e66edb1a4bcd40da90d029d5ea0b44e3
N2,all,港,-こう,…항; 항구.,https://ja.dict.naver.com/#/entry/jako/7e71928814e3434097d6e7860a4f378d
N2,all,国,-こく,…나라; …국.,https://ja.dict.naver.com/#/entry/jako/17c778fdc9ea423e9d8b7c9c3d90528b
N2,all,毎,-ごと,(명사나 동사의 연체형에 붙여서) …마다((대개 ‘ごとに'의 꼴로 씀)).,https://ja.dict.naver.com/#/entry/jako/f77b7feeec7f4399a2073c8c3c1e4290
N2,all,様,-さん,"인명·직명 등에 붙어 경의를 나타냄; 또, 동물명 등에 붙어 친애(親愛)의 뜻을 나타내기도 함.",https://ja.dict.naver.com/#/entry/jako/878ffbb03ad4465abb04697957c0c20d
N2,all,紙,-し,…지.,https://ja.dict.naver.com/#/entry/jako/9bf47a5240b3429685d676139114655a
N2,all,者,-しゃ,…자; 사람.,https://ja.dict.naver.com/#/entry/jako/52fa6c156afb4ab287bb11aa234e76e6
N2,all,酒,-しゅ,…주; …술.,https://ja.dict.naver.com/#/entry/jako/a98f5b9d08914bd7ad00842a8df9ccac
