level,pos,japanese,reading,korean,source_url
N3,all,家,-か,…가.,https://ja.dict.naver.com/#/entry/jako/42e2dc177d314d79be4d94ebe8464b95
N3,all,-そう,-そう,(‘そうだ’ ‘そうな’ ‘そうに’ 등의 꼴로),https://ja.dict.naver.com/#/entry/jako/e0e7c81a0c0f45a491454f1da9377d9f
N3,all,沿い·添い,-ぞい,…에 따라서; …연도[연변].,https://ja.dict.naver.com/#/entry/jako/1bd825e002894883a545043dfe20adae
N3,all,店,-てん,…점; 가게.,https://ja.dict.naver.com/#/entry/jako/12ea3973a6044656a4968804e5787416
N3,all,番目,-ばんめ,순서를 나타내는 말： …번째.,https://ja.dict.naver.com/#/entry/jako/ceabf9cb65d84c799f755f2bcda7c459
N3,all,あ,あ,아.,https://ja.dict.naver.com/#/entry/jako/4be95edc329a4c269bd5380b76ca8976
N3,all,ああ,ああ,긍정·승낙할 때에 내는 소리： 아.,https://ja.dict.naver.com/#/entry/jako/7880eba98825405787af6e4adbe88d56
N3,all,愛,あい,사랑; 애정.,https://ja.dict.naver.com/#/entry/jako/14c9ad02f89148dfa811364d69f804be
N3,all,相変わらず,あいかわらず,변함없이; 여전히.,https://ja.dict.naver.com/#/entry/jako/162f95c0741d43a4bd4fc4d0cff98f11
N3,all,愛する,あいする,사랑하다.,https://ja.dict.naver.com/#/entry/jako/eef5621636ea46d1ad39a94dfab79518
N3,all,相手,あいて,상대.,https://ja.dict.naver.com/#/entry/jako/099bf0724ceb4751bde785c2c5412ea8
N3,all,青白い·蒼白い,あおじろい,희푸르다; 파르께하다; 푸르스름하다.,https://ja.dict.naver.com/#/entry/jako/044e2855539a471593fdd6a4d965094b
N3,all,赤ん坊,あかんぼう,아기; 갓난아기; 태어날 (배 속의) 아기.,https://ja.dict.naver.com/#/entry/jako/4ed72437d62d47039fedb1a1db27c1bd
N3,all,明地·空地,あきち,공지; 빈터; 공터; 빈 땅.,https://ja.dict.naver.com/#/entry/jako/4353cebafa2f4bf6a41d4dec672d77a7
N3,all,明らか,あきらか,밝음; 환함.,https://ja.dict.naver.com/#/entry/jako/f09d258ac01b40bdb983f084dce8d5f8
N3,all,諦める,あきらめる,체념하다; 단념하다.,https://ja.dict.naver.com/#/entry/jako/66ee0c61076a49bf832fa106c808e1c2
N3,all,飽きる·厭きる,あきる,싫증 나다; 물리다; 질리다.,https://ja.dict.naver.com/#/entry/jako/ca794418ea7b49fca5b394a7eda2e3db
N3,all,握手,あくしゅ,악수.,https://ja.dict.naver.com/#/entry/jako/9e183a8998a64dad8168af58b83cc74b
N3,all,欠伸·欠,あくび,하품.,https://ja.dict.naver.com/#/entry/jako/c4e81a13ec23446b885c2ab11d689e8b
N3,all,明ける,あける,(날이) 새다; 밝(아지)다.,https://ja.dict.naver.com/#/entry/jako/2eb8a7f0311a48f39bfa8987d5693f18
N3,all,明ける,あける,(날이) 새다; 밝(아지)다.,https://ja.dict.naver.com/#/entry/jako/2eb8a7f0311a48f39bfa8987d5693f18
N3,all,挙げる,あげる,(손을) 들다; 쳐들다.,https://ja.dict.naver.com/#/entry/jako/3917941b35794f9ba552390518361fb5
N3,all,憧れる·憬れる,あこがれる,동경하다; 그리워하다.,https://ja.dict.naver.com/#/entry/jako/d91a7376f60145bc96782ab13922943d
N3,all,朝寝坊,あさねぼう,늦잠꾸러기; 늦잠을 잠.,https://ja.dict.naver.com/#/entry/jako/81e9dfc8aed44ca58d58353b2ae7a93c
N3,all,朝日·旭,あさひ,"아침 해;  또, 그 햇빛.",https://ja.dict.naver.com/#/entry/jako/d15eec67894d4769a50c2e676b7f6425
N3,all,足跡,あしあと,발자취.,https://ja.dict.naver.com/#/entry/jako/f66a5acac67d4c208ea5a41e6a23851a
N3,all,足元·足下·足許,あしもと,"발밑; 또, 그 언저리.",https://ja.dict.naver.com/#/entry/jako/557c5da4b7f346a5a7db28c8f965d92b
N3,all,味見,あじみ,맛[간]을 봄.,https://ja.dict.naver.com/#/entry/jako/f8e9df60fe9b4addbc64709accac44c0
N3,all,味わう,あじわう,맛보다.,https://ja.dict.naver.com/#/entry/jako/f1380bae91bd4e80880aa98e07922970
N3,all,預(か)る,あずかる,맡다.,https://ja.dict.naver.com/#/entry/jako/a2a33cc808b44fdfb6f3a4b1d3bf0ca8
N3,all,預ける,あずける,맡기다.,https://ja.dict.naver.com/#/entry/jako/613ef0ef791145e0a6e8203bc0309a05
