level,pos,japanese,reading,korean,source_url
N4,all,員,-いん,…원.,https://ja.dict.naver.com/#/entry/jako/11538ab372a84991a506abf25481b03f
N4,all,置き,-おき,(수량을 나타내는 말에 붙어서) 일정한 간격을 두고 일이 거듭됨을 나타냄: 간격; 걸러.,https://ja.dict.naver.com/#/entry/jako/c94b7b7b3f69484eb0b05b1229cbe202
N4,all,か月·箇月·個月,-かげつ,…개월.,https://ja.dict.naver.com/#/entry/jako/7fb74a34ccf54b67a232add1374e94d6
N4,all,月,-がつ,…월.,https://ja.dict.naver.com/#/entry/jako/1b89d12b550045aeb205751241f034e3
N4,all,-がる,-がる,(형용사·형용 동사의 어간(語幹) 및 조동사 ‘たい’의 ‘た’에 붙여 5단활용 동사를 만듦),https://ja.dict.naver.com/#/entry/jako/f68b6bb94fc64835ba3ee8831beba284
N4,all,君,-くん,동년배 또는 손아랫사람 이름 밑에 붙여 가벼운 존경의 뜻을 나타내는 말： …군((주로 남성에 대하여 씀)).,https://ja.dict.naver.com/#/entry/jako/e6604eb7ca694de99438beea22907bd9
N4,all,軒,-けん,집을 세는 단위: 채; 동.,https://ja.dict.naver.com/#/entry/jako/68cad23ff8cd428183855e903a92cbb2
N4,all,頃,-ごろ,경; 무렵; 쯤.,https://ja.dict.naver.com/#/entry/jako/fd7c9928941d47a5971c59a4cac861e2
N4,all,時,-じ,…시.,https://ja.dict.naver.com/#/entry/jako/267b03480d9d430fb4aa066c40cbbf2e
N4,all,製,-せい,…제; 만든 재료·회사명·국명을 나타내는 말.,https://ja.dict.naver.com/#/entry/jako/e064a6286c9f4e6ebca3b13f9fe2a46c
N4,all,達,-たち,명사‧대명사에 붙어 복수(複數)를 나타냄: …들.,https://ja.dict.naver.com/#/entry/jako/9b38a4f2243b414296c9bb36f9bbe5e1
N4,all,建(て),-だて,건물의 양식‧소재나 층수를 나타내는 말.,https://ja.dict.naver.com/#/entry/jako/cb977bf748c64cbaa4f69c6f83825348
N4,all,-ちゃん,-ちゃん,(인명 또는 사람을 나타내는 명사에 붙여서) 친근감을 주는 호칭((‘さん’보다 다정한 호칭)).,https://ja.dict.naver.com/#/entry/jako/8a0f1ae31ad34bb79c15db64d7b9f945
N4,all,匹·疋,-ひき,(수사(数詞) 다음에 와서) 짐승·물고기·벌레 따위를 세는 말: 마리.,https://ja.dict.naver.com/#/entry/jako/6f39fa1dc5f34505a9682f11deea31a1
N4,all,枚,-まい,…매; …장(종이·널 따위 얇고 평평한 것을 세는 말).,https://ja.dict.naver.com/#/entry/jako/46b5c03ed55c44609860b44576dd5a72
N4,all,ああ,ああ,저렇게; 저처럼.,https://ja.dict.naver.com/#/entry/jako/32351eb6da514c44a54bea64823977d8
N4,all,挨拶,あいさつ,인사.,https://ja.dict.naver.com/#/entry/jako/6f3bf545e7484d48acb68731e27686e9
N4,all,間,あいだ,사이.,https://ja.dict.naver.com/#/entry/jako/040adb22fbdf4fb3a2168d66675cc9d1
N4,all,合う,あう,(두 가지 이상의 것이) 합쳐지다; 합류하다.,https://ja.dict.naver.com/#/entry/jako/7ebd90bc37e142568c74781dccad0ca3
N4,all,赤ちゃん,あかちゃん,아기(‘赤ん坊’의 애칭).,https://ja.dict.naver.com/#/entry/jako/591a3b11ef1d47bcb59f7b5defef173d
N4,all,空く,あく,비다.,https://ja.dict.naver.com/#/entry/jako/08896bd3dd1e49c982131451eeb3cc84
N4,all,顎·腭·頤,あご,턱.,https://ja.dict.naver.com/#/entry/jako/c3e46f8974c94eab9562d663f9e917e1
N4,all,浅い,あさい,얕다.,https://ja.dict.naver.com/#/entry/jako/9f643c40a12b4d1184fa45c2b20043ce
N4,all,足音·跫音,あしおと,발소리.,https://ja.dict.naver.com/#/entry/jako/ab2a6f2000584575b03be7186883ffaa
N4,all,味,あじ,맛.,https://ja.dict.naver.com/#/entry/jako/5d2a2cf13c8843dbbc774ca826d2dc8c
N4,all,明日,あす,내일.,https://ja.dict.naver.com/#/entry/jako/5a920e5fff0240b0accdf8f7f8186a33
N4,all,汗,あせ,땀; 피부의 땀샘에서 분비하는 액체.,https://ja.dict.naver.com/#/entry/jako/9e88a284f9ec48d683ccf5a01f001b58
N4,all,遊び,あそび,놀이; 노는 일; 놂.,https://ja.dict.naver.com/#/entry/jako/e8f3349bd9ad4016ba2f376a839cc8a0
N4,all,厚い,あつい,두껍다.,https://ja.dict.naver.com/#/entry/jako/27c53ed94b8c4e0fa97e0c2cad9e05be
N4,all,熱い,あつい,뜨겁다.,https://ja.dict.naver.com/#/entry/jako/954379aa730f4b0591fbbf6f9aa216be
N4,all,暑さ,あつさ,더위.,https://ja.dict.naver.com/#/entry/jako/d6b4345dcf6644308fe635dc6025964b
N4,all,集まる,あつまる,모이다.,https://ja.dict.naver.com/#/entry/jako/417d050147b94d6cab946e21a91da3ac
N4,all,集める,あつめる,모으다.,https://ja.dict.naver.com/#/entry/jako/9808c17f727046a395c1bce43b3be194
